[EMAIL] Using SMTP backend - smtp.gmail.com:587
INFO 2025-11-26 14:42:00,304 cli Starting server at tcp:port=8001:interface=0.0.0.0
INFO 2025-11-26 14:42:00,304 server HTTP/2 support not enabled (install the http2 and tls Twisted extras)
INFO 2025-11-26 14:42:00,304 server Configuring endpoint tcp:port=8001:interface=0.0.0.0
127.0.0.1:51915 - - [26/Nov/2025:14:56:00] "GET /api/counselor/appointments/?status=upcoming" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:56:00] "GET /api/counselor/stats/" 200 193
127.0.0.1:51915 - - [26/Nov/2025:14:56:00] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:56:16] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:56:16] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:14:56:46] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:56:46] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:14:57:00] "GET /api/counselor/profile/" 200 264
127.0.0.1:51915 - - [26/Nov/2025:14:57:00] "GET /api/counselor/appointments/?status=upcoming" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:57:00] "GET /api/counselor/stats/" 200 193
127.0.0.1:51915 - - [26/Nov/2025:14:57:00] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:57:16] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:57:16] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:14:57:46] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:57:46] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:14:58:00] "GET /api/counselor/profile/" 200 264
127.0.0.1:51915 - - [26/Nov/2025:14:58:00] "GET /api/counselor/appointments/?status=upcoming" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:58:00] "GET /api/counselor/stats/" 200 193
127.0.0.1:51915 - - [26/Nov/2025:14:58:00] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:58:16] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:58:16] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:14:58:46] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:58:46] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:14:59:00] "GET /api/counselor/profile/" 200 264
127.0.0.1:51915 - - [26/Nov/2025:14:59:00] "GET /api/counselor/appointments/?status=upcoming" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:59:00] "GET /api/counselor/stats/" 200 193
127.0.0.1:51915 - - [26/Nov/2025:14:59:00] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:59:16] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:59:17] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:14:59:46] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:59:46] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:15:00:00] "GET /api/counselor/profile/" 200 264
127.0.0.1:51915 - - [26/Nov/2025:15:00:00] "GET /api/counselor/appointments/?status=upcoming" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:00:00] "GET /api/counselor/stats/" 200 193
127.0.0.1:51915 - - [26/Nov/2025:15:00:00] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:00:16] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:00:16] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:15:00:46] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:00:46] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:15:01:00] "GET /api/counselor/profile/" 200 264
127.0.0.1:51915 - - [26/Nov/2025:15:01:00] "GET /api/counselor/appointments/?status=upcoming" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:01:00] "GET /api/counselor/stats/" 200 193
127.0.0.1:51915 - - [26/Nov/2025:15:01:00] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:01:16] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:01:16] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:15:01:47] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:01:47] "GET /api/chats/list/" 200 1691
WARNING 2025-11-26 15:02:00,738 log Unauthorized: /api/counselor/profile/
127.0.0.1:51915 - - [26/Nov/2025:15:02:00] "GET /api/counselor/profile/" 401 172
127.0.0.1:51915 - - [26/Nov/2025:15:02:00] "POST /api/auth/token/refresh/" 200 244
127.0.0.1:51915 - - [26/Nov/2025:15:02:00] "GET /api/counselor/profile/" 200 264
127.0.0.1:51915 - - [26/Nov/2025:15:02:00] "GET /api/counselor/appointments/?status=upcoming" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:02:00] "GET /api/counselor/stats/" 200 193
127.0.0.1:51915 - - [26/Nov/2025:15:02:00] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:02:16] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:02:16] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:15:02:46] "GET /api/counselor/queued-chats/" 200 2
